State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
4R03,41021,4R03-004,Elbert County,Transit,,Elbert Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,45 Forest Ave,,493,Elberton,GA,30635,1807,4,https://elberttransit.com/,1002,V4LVV81NY9W1,,,,,, -   , -   , -   , 6 ,, 6 ,0,0,Tier II,,,
4R07,41022,4R07-008,Newberry County Council on Aging,,NCCOA,,Rural Reporter,Rural,Area Agency on Aging,4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1300 Hunt St,,,Newberry,SC,29108,3082,4,http://www.nccoa.org,1006,DKF3EAGHXPP7,,,,,, -   , -   , -   , 23 ,, 23 ,0,0,Tier II,,,
4R04,41023,4R04-003,Daniel Boone Development Council,,DBDC,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,1535 Shamrock Rd,,,Manchester,KY,40962,9201,4,http://danielboonecaa.org/programs/transportation,1003,JQXPR57WPPA3,,,,,, -   , -   , -   , 74 ,, 74 ,0,0,Tier II,,,
4R05,41024,4R05-018,Mississippi Valley State University,Mass Transit,,,Rural Reporter,Rural,University,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,P.O. Box 7292,,7292,Itta Bena,MS,38941,1401,4,http://www.mvsu.edu/facilities/transportation,1009,R597J3LBFG58,,,,,, -   , -   , -   , 17 ,, 17 ,0,0,Tier II,,,
4R06,41025,4R06-102,Trolley's Inc,,SC,Sunway Charters,Rural Reporter,Rural,Private-For-Profit Corporation,4R06,North Carolina Department of Transportation,,Intercity Bus,6/30/24,10/31/24,2400 Queen City Dr,,,Charlotte,NC,28208,2715,4,http://www.sunwaycharters.com/,1005,SG37XWHNBH64," 1,050 "," 150,448 ",,,, -   , -   , -   ,,,,,,Tier II,,,
,41027,4R03-076,Bartow County,Transit,BCT,Bartow County Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,135 W Cherokee Ave Ste 251,,,Cartersville,GA,30120,3180,4,https://www.bartowcountyga.gov/departments/transit/,1002,HXTWLBNKW5A9, 459 ," 108,901 ",03817,"Atlanta, GA",," 5,100,112 "," 2,040.1 "," 2,553.0 ", 10 ,, 10 ,,,Tier II,,,
4R06,41028,4R06-044,Scotland County,Transportation,SCAT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,507 W Covington St,,1647,Laurinburg,NC,28352,3701,4,https://www.scotlandcounty.org/435/Transportation,1005,FNVTCUQGCHM5,,,,,, -   , -   , -   , 6 ,, 6 ,0,0,Tier II,,,
4R06,41029,4R06-058,Ashe County Transportation Authority Inc,,ACTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,895 Ray Taylor Rd,,1836,West Jefferson,NC,28694,9351,4,http://www.actatravels.com/,1005,N9LYSJTKLG83,,,,,, -   , -   , -   , 15 ,, 15 ,0,0,Tier II,,,
4R05,41030,4R05-035,Mississippi State University,MSU Area Rapid Transit,SMART,,Rural Reporter,Rural,University,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,245 Barr Ave,,6350,Mississippi State,MS,39762,,4,http://www.smart.msstate.edu/,1009,NTXJM52SHKS7,,,,,, -   , -   , -   , 41 ,, 41 ,0,0,Tier II,,,
4R06,41031,4R06-018,Greene County,Transportation,GCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,229 Kingold Blvd Ste D,,,Snow Hill,NC,28580,1331,4,http://www.co.greene.nc.us/,1005,VCU5LD71N9U3,,,,,, -   , -   , -   , 8 ,, 8 ,0,0,Tier II,,,
