Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem, OR",78229.0,2024,Demand Response,72.68,268331.0,78.0,309881.0,Annual Total,594006.0,49577.0,104912.0
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem, OR",78229.0,2024,Bus,72.68,268331.0,78.0,309881.0,Annual Total,2526908.0,206182.0,3228778.0
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem, OR",78229.0,2024,Bus,72.68,268331.0,78.0,309881.0,Annual Total,522268.0,24220.0,106952.0
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem, OR",78229.0,2024,Vanpool,72.68,268331.0,78.0,309881.0,Annual Total,492347.0,12055.0,84003.0
"County of Pierce, dba: Pierce County Ferry","Seattle--Tacoma, WA",80389.0,2024,Ferryboat,982.52,3544011.0,233.0,925708.0,Annual Total,43216.0,5396.0,450636.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Commuter Bus,982.52,3544011.0,257.0,920344.0,Annual Total,405825.0,18788.0,238373.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Commuter Bus,982.52,3544011.0,257.0,920344.0,Annual Total,538257.0,23012.0,486155.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,257.0,920344.0,Annual Total,1635027.0,113113.0,218546.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,257.0,920344.0,Annual Total,6956501.0,494750.0,7039896.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,257.0,920344.0,Annual Total,219321.0,10830.0,61472.0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Seattle--Tacoma, WA",80389.0,2024,Vanpool,982.52,3544011.0,257.0,920344.0,Annual Total,2764318.0,84300.0,381964.0
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)",Alaska Non-UZA,2.0,2024,Demand Response,0.0,359299.0,,,Annual Total,32313.0,2107.0,3015.0
Shoshone-Bannock Tribes,Idaho Non-UZA,16.0,2024,Bus,0.0,836252.0,,,Annual Total,258228.0,12829.0,19923.0
